,nx,ny,J,h,energy,mx,mx_s,mz,use_sparse,energy_per_site,type
0,5,5,-1.0,0.0,-39.999999999999986,0.7058187788885317,0.02823275115554129,-4.076350142760099e-18,True,-1.5999999999999994,ed
1,5,5,-1.0,0.1,-40.04125387719513,0.33649211671237794,0.01344473844020388,-0.04000197855243304,True,-1.6016501550878053,ed
2,5,5,-1.0,0.2,-40.16506196000438,-0.9833873499226672,-0.03916108870632364,-0.08001553584669852,True,-1.6066024784001751,ed
3,5,5,-1.0,0.30000000000000004,-40.371563039996246,-0.5189470506854779,-0.020551420203318637,-0.12005078729340787,True,-1.6148625215998498,ed
4,5,5,-1.0,0.4,-40.660986571002,0.2859638681287528,0.011237141587066301,-0.16011492048311257,True,-1.62643946284008,ed
5,5,5,-1.0,0.5,-41.033649901224244,-0.6079407761918112,-0.02365216436669613,-0.2002107324259572,True,-1.6413459960489698,ed
6,5,5,-1.0,0.6000000000000001,-41.48995446321258,0.07044551572383523,0.002707504909167058,-0.24033517725010675,True,-1.659598178528503,ed
7,5,5,-1.0,0.7000000000000001,-42.03038099437337,0.007229668326479711,0.00027389552431980374,-0.2804779371786015,True,-1.6812152397749347,ed
8,5,5,-1.0,0.8,-42.65548388710921,8.338543296035457e-05,3.1071034351373415e-06,-0.3206200288520838,True,-1.7062193554843685,ed
9,5,5,-1.0,0.9,-43.36588479470245,-1.1078822958975182e-05,-4.051460112741635e-07,-0.3607324518430572,True,-1.7346353917880981,ed
10,5,5,-1.0,1.0,-44.1622656603289,-4.3083460688161935e-07,-1.5429123470332648e-08,-0.4007748880302121,True,-1.766490626413156,ed
11,5,5,-1.0,1.1,-45.04536147337021,7.059252390209981e-08,2.470423952230309e-09,-0.44069451817813315,True,-1.8018144589348082,ed
12,5,5,-1.0,1.2000000000000002,-46.015953631182526,-5.3283967924155114e-08,-1.8183305042019202e-09,-0.4804252956042129,True,-1.840638145247301,ed
13,5,5,-1.0,1.3,-47.07486693075883,-1.9748230623719562e-10,-6.557835565095337e-12,-0.5198889052433718,True,-1.8829946772303532,ed
14,5,5,-1.0,1.4000000000000001,-48.22297984170161,-1.4652086909145172e-10,-4.725219238899705e-12,-0.5590007846833784,True,-1.9289191936680643,ed
15,5,5,-1.0,1.5,-49.4612740816079,-2.353851121959026e-11,-7.357709703365107e-13,-0.5976881684236082,True,-1.978450963264316,ed
16,5,5,-1.0,1.6,-50.790979983702464,7.482960681670259e-12,2.2622999551528535e-13,-0.6359294584544605,True,-2.0316391993480987,ed
17,5,5,-1.0,1.7000000000000002,-52.213907640704015,-7.261001613963492e-12,-2.1200271418030534e-13,-0.6738153096979596,True,-2.0885563056281606,ed
18,5,5,-1.0,1.8,-53.733027132524604,7.004891118883829e-12,1.9721774332879074e-13,-0.7115895052623847,True,-2.149321085300984,ed
