,nx,ny,J,h,energy,degree,mx,mx_s,mz,energy_per_site,type
0,8,8,-1.0,0.0,-111.99999998880014,2,-0.9999999999,1.9136123110069713e-30,4.948846074059608e-18,-1.7499999998250022,mbr
1,8,8,-1.0,0.1,-112.0949970812987,2,-0.9995376958305975,1.3545012365078563e-20,-0.02968242120476096,-1.7514843293952922,mbr
2,8,8,-1.0,0.2,-112.37948619128665,2,-0.9981617474247297,-8.829999954436325e-20,-0.059123906163648654,-1.7559294717388538,mbr
3,8,8,-1.0,0.30000000000000004,-112.84915173333955,2,0.9959687221845704,3.151117839040169e-17,-0.08730890111568188,-1.7632679958334305,mbr
4,8,8,-1.0,0.4,-113.49092956886771,2,-0.9932193385892694,9.287508335192002e-19,-0.11264401130436404,-1.773295774513558,mbr
5,8,8,-1.0,0.5,-114.2822257410353,2,0.9902733502407375,-9.479499339722643e-17,-0.13390382757025968,-1.7856597772036766,mbr
6,8,8,-1.0,0.6000000000000001,-115.19555517447668,2,0.14752242012830066,1.2598732525498412e-16,-0.15080997852537226,-1.7999305496011981,mbr
7,8,8,-1.0,0.7000000000000001,-116.20430393603323,2,-0.08378608672951304,-6.236252491934358e-17,-0.16383929829974656,-1.8156922490005192,mbr
8,8,8,-1.0,0.8,-117.28607230569258,2,0.15873771255117997,2.0903101479476205e-17,-0.1737611911037045,-1.8325948797764466,mbr
9,8,8,-1.0,0.9,-118.42342482787456,2,-0.03706042291160863,-1.0427483238787969e-16,-0.18132380514161459,-1.85036601293554,mbr
10,8,8,-1.0,1.0,-119.60329328092499,2,0.009287296046977858,2.0056827699959643e-17,-0.18713577961228173,-1.868801457514453,mbr
11,8,8,-1.0,1.1,-120.81601422375135,2,0.01589782278094952,2.899757799584647e-18,-0.19165520055036186,-1.8877502222461149,mbr
12,8,8,-1.0,1.2000000000000002,-122.05444081676833,2,0.014989058855250712,3.534066245688086e-17,-0.1952157481966887,-1.9071006377620052,mbr
13,8,8,-1.0,1.3,-123.31324820812333,2,0.001106948754285961,-7.401311419753695e-17,-0.19805803691855234,-1.926769503251927,mbr
14,8,8,-1.0,1.4000000000000001,-124.58842545213336,2,-0.011527843700450858,-4.904728344950019e-17,-0.200355847528507,-1.9466941476895838,mbr
15,8,8,-1.0,1.5,-125.8769136497097,2,0.000858137341439645,5.419341214063886e-17,-0.2022356500822613,-1.9668267757767142,mbr
16,8,8,-1.0,1.6,-127.17635012676986,2,0.007386122727472782,8.88850727062135e-17,-0.20379046188885316,-1.987130470730779,mbr
17,8,8,-1.0,1.7000000000000002,-128.4848871320597,2,0.005375026435083925,-3.867811368001653e-17,-0.20508951097027425,-2.0075763614384328,mbr
18,8,8,-1.0,1.8,-129.8010623717201,2,-0.003110851888183057,1.4626119269434787e-17,-0.20618495150142957,-2.0281415995581265,mbr
19,8,8,-1.0,1.9000000000000001,-131.12370561894775,2,-0.000595952619835308,-9.485919386523032e-18,-0.2071165493610062,-2.0488079002960586,mbr
20,8,8,-1.0,2.0,-135.70888307791475,2,-1.1108125635423475e-16,2.2587519892841727e-19,-0.9771589204147282,-2.120451298092418,mbr
21,8,8,-1.0,2.1,-141.96458951219728,2,-1.6194193773364156e-16,1.4488028278941486e-19,-0.9777472448475459,-2.2181967111280825,mbr
22,8,8,-1.0,2.2,-148.2240207934436,2,-4.845877785076152e-16,-2.7249495451187393e-19,-0.9783229059069206,-2.3160003248975563,mbr
