,nx,ny,J,h,energy,mx,mx_s,mz,max_chi,rel_energy_delta,rel_entropy_delta,mixer,energy_per_site,type
0,5,5,-1.0,0.0,-40.00000000000001,-1.0000000000000002,-0.04000000000000001,5.793918580516752e-17,500,1e-08,1e-05,True,-1.6000000000000003,mps
1,5,5,-1.0,0.1,-40.04125387719507,0.9994203277138479,0.03987657850114481,-0.033006202259274794,500,1e-08,1e-05,True,-1.6016501550878026,mps
2,5,5,-1.0,0.2,-40.16506196000429,-0.9976752360863465,-0.03950857989230307,-0.06604952797088298,500,1e-08,1e-05,True,-1.6066024784001716,mps
3,5,5,-1.0,0.30000000000000004,-40.3715630399962,-0.9947464448729003,-0.038902731418432285,-0.09916665144210103,500,1e-08,1e-05,True,-1.6148625215998478,mps
4,5,5,-1.0,0.4,-40.66098657100203,-0.9906032946215688,-0.03807001356938742,-0.13239335537845334,500,1e-08,1e-05,True,-1.6264394628400811,mps
5,5,5,-1.0,0.5,-41.03364990122424,-0.9852024364367006,-0.037025323000474154,-0.16576410292713487,500,1e-08,1e-05,True,-1.6413459960489696,mps
6,5,5,-1.0,0.6000000000000001,-41.48995446321219,-0.9784873510412431,-0.03578701901653874,-0.19931163360853854,500,1e-08,1e-05,True,-1.6595981785284877,mps
7,5,5,-1.0,0.7000000000000001,-42.030380994367654,0.9703876433284077,0.03437636791036218,-0.23306659358305276,500,1e-08,1e-05,True,-1.6812152397747062,mps
8,5,5,-1.0,0.8,-42.65548388696865,0.9608180333712535,0.03281689986259499,-0.26705721069472166,500,1e-08,1e-05,True,-1.7062193554787461,mps
9,5,5,-1.0,0.9,-43.36588479237239,0.9496769311447214,0.031133693556583603,-0.3013090245648106,500,1e-08,1e-05,True,-1.7346353916948956,mps
10,5,5,-1.0,1.0,-44.162265660327314,-0.010505197492682921,-0.0003291421823933169,-0.3358447115922774,500,1e-08,1e-05,True,-1.7664906264130926,mps
11,5,5,-1.0,1.1,-45.045361473369894,-0.0013665100999170892,-4.075010164269835e-05,-0.37068406003268217,500,1e-08,1e-05,True,-1.8018144589347957,mps
12,5,5,-1.0,1.2000000000000002,-46.01595363118248,3.721017533542156e-05,1.0519448745590631e-06,-0.40584460641061637,500,1e-08,1e-05,True,-1.840638145247299,mps
13,5,5,-1.0,1.3,-47.07486693075895,1.5358920404938049e-06,4.1010999751978737e-08,-0.44134431939414376,500,1e-08,1e-05,True,-1.882994677230358,mps
14,5,5,-1.0,1.4000000000000001,-48.222979841701566,3.5791873783360693e-07,8.995211646335022e-09,-0.4772105800391453,500,1e-08,1e-05,True,-1.9289191936680625,mps
15,5,5,-1.0,1.5,-49.46127408160817,-1.9518201048207767e-07,-4.601699731683215e-09,-0.5135047192495545,500,1e-08,1e-05,True,-1.9784509632643266,mps
16,5,5,-1.0,1.6,-50.79097998370225,4.001704985280857e-09,8.820018910561207e-11,-0.5503767027667371,500,1e-08,1e-05,True,-2.0316391993480902,mps
17,5,5,-1.0,1.7000000000000002,-52.21390764070403,-5.522748420729654e-10,-1.1334505543176097e-11,-0.5881584147752444,500,1e-08,1e-05,True,-2.088556305628161,mps
18,5,5,-1.0,1.8,-53.733027132524946,-4.1063175422702575e-11,-7.808739879031218e-13,-0.6274542703238817,500,1e-08,1e-05,True,-2.149321085300998,mps
19,5,5,-1.0,1.9000000000000001,-55.35309792665429,1.7289215940253128e-11,3.0096181061575537e-13,-0.6690392738044619,500,1e-08,1e-05,True,-2.2141239170661717,mps
20,5,5,-1.0,2.0,-57.08039618245121,-7.553158270427111e-13,-1.1597951884459676e-14,-0.7131665911216755,500,1e-08,1e-05,True,-2.2832158472980484,mps
21,5,5,-1.0,2.1,-58.91978370001746,-7.150663622449216e-14,-1.1215058036454047e-15,-0.7582283076693764,500,1e-08,1e-05,True,-2.3567913480006983,mps
22,5,5,-1.0,2.2,-60.86912633584765,7.332589852046272e-14,2.358222382885265e-15,-0.800400177878761,500,1e-08,1e-05,True,-2.4347650534339063,mps
