,nx,ny,J,h,energy,degree,mx,mx_s,mz,energy_per_site,type
0,4,4,1.0,0.0,-23.999999997675395,5,-6.607918600995356e-20,-0.00017299931534188733,-1.3352122359144861e-11,-1.4999999998547122,mbr
1,4,4,1.0,0.1,-24.028336170891208,5,-3.8438026342106644e-18,0.00016718656993329454,-0.03542376437025437,-1.5017710106807005,mbr
2,4,4,1.0,0.2,-24.113378693993745,5,8.501206056858083e-18,0.000140380946424595,-0.0708899751010659,-1.507086168374609,mbr
3,4,4,1.0,0.30000000000000004,-24.2552290279251,5,-9.856793367022718e-18,-0.00012532423934173172,-0.10644039908789121,-1.5159518142453188,mbr
4,4,4,1.0,0.4,-24.454054511952883,5,5.250917206420125e-17,-4.180756859306462e-06,-0.14211552909912673,-1.5283784069970552,mbr
5,4,4,1.0,0.5,-24.710085943706396,5,-2.5983889703227167e-17,-1.714874654174697e-06,-0.1779541338027134,-1.5443803714816497,mbr
6,4,4,1.0,0.6000000000000001,-25.02361456311836,5,-1.0257250843368838e-17,-3.4962366821421e-07,-0.21399295621564188,-1.5639759101948976,mbr
7,4,4,1.0,0.7000000000000001,-25.394988607048745,5,1.8755979025368125e-17,-1.3991486994088998e-08,-0.25026644124050546,-1.5871867879405466,mbr
8,4,4,1.0,0.8,-25.824609193102255,5,-7.029184996248455e-17,-2.725831084381961e-08,-0.286806048461241,-1.614038074568891,mbr
9,4,4,1.0,0.9,-26.31292830382322,5,-1.0757742928880257e-17,-1.453126889541063e-09,-0.32364617749061547,-1.6445580189889513,mbr
10,4,4,1.0,1.0,-26.860456571104628,5,-8.264892754180782e-17,-6.574080549546745e-10,-0.3608248254716982,-1.6787785356940392,mbr
11,4,4,1.0,1.1,-27.467781765769168,5,-9.576731327022681e-17,1.4326278657855545e-10,-0.39840669913086274,-1.716736360360573,mbr
12,4,4,1.0,1.2000000000000002,-28.135637787088807,5,-3.4245478984969646e-19,1.0850889887399058e-11,-0.4365170420763593,-1.7584773616930505,mbr
13,4,4,1.0,1.3,-28.86504455761474,5,-1.57726894017189e-16,1.297631936189492e-12,-0.4753990534359151,-1.8040652848509213,mbr
14,4,4,1.0,1.4000000000000001,-29.657548655212977,5,-8.515081939255356e-17,1.0802509458986476e-12,-0.515476660330017,-1.853596790950811,mbr
15,4,4,1.0,1.5,-30.51553428266743,5,3.541933926404975e-17,2.362520714224173e-13,-0.5573646441534145,-1.9072208926667145,mbr
16,4,4,1.0,1.6,-31.44242711287101,5,1.9948560828726114e-17,-4.7665014842324e-13,-0.6016968581968383,-1.965151694554438,mbr
17,4,4,1.0,1.7000000000000002,-32.44236462649769,5,2.975555089183793e-17,1.6398939751588448e-13,-0.6486107785548894,-2.0276477891561058,mbr
18,4,4,1.0,1.8,-33.51878344063618,5,1.0622945007571896e-16,1.0036625620476707e-13,-0.6969689086122608,-2.094923965039761,mbr
19,4,4,1.0,1.9000000000000001,-34.67199684334274,5,9.119852472432522e-17,2.3618959000397585e-14,-0.7440515579283852,-2.1669998027089212,mbr
20,4,4,1.0,2.0,-35.89729497118796,5,1.381929770126468e-16,5.3538203663010454e-14,-0.7865769901388402,-2.2435809356992475,mbr
21,4,4,1.0,2.1,-37.18542859037777,5,1.2737458142724277e-16,-4.7767623540713335e-15,-0.8223912045744585,-2.3240892868986105,mbr
22,4,4,1.0,2.2,-38.52516112995527,5,2.372412602548476e-17,-7.34713572320868e-15,-0.8511487679747312,-2.4078225706222045,mbr
23,4,4,1.0,2.3000000000000003,-39.905807044614996,5,8.011056348839672e-17,4.079572317821897e-15,-0.8737346221302408,-2.494112940288437,mbr
24,4,4,1.0,2.4000000000000004,-41.318504494282436,5,8.547255697867271e-17,-9.08186657432785e-15,-0.891427043094901,-2.5824065308926523,mbr
25,4,4,1.0,2.5,-42.75640001143444,5,9.570271206704873e-17,1.224829341863184e-15,-0.905410174375351,-2.6722750007146523,mbr
26,4,4,1.0,2.6,-44.21434237272069,5,2.4959071576549176e-17,6.4307958254032636e-15,-0.9166200401524451,-2.763396398295043,mbr
27,4,4,1.0,2.7,-45.68847807681602,5,5.648103740497989e-17,5.533600132829053e-15,-0.9257496652064537,-2.855529879801001,mbr
28,4,4,1.0,2.8000000000000003,-47.175901709542295,5,1.1380350898523813e-16,8.991705995215758e-16,-0.9333004607856835,-2.9484938568463934,mbr
29,4,4,1.0,2.9000000000000004,-48.674392325871054,5,3.225632364476304e-17,-1.138529064950199e-15,-0.9396344763191455,-3.042149520366941,mbr
30,4,4,1.0,3.0,-50.18222491120555,5,1.0565983913365162e-16,-1.2847827871648186e-15,-0.945015371387223,-3.136389056950347,mbr
31,4,4,1.0,3.1,-51.69803783331053,5,7.287191261708874e-17,1.8224996780218737e-15,-0.9496377655402819,-3.231127364581908,mbr
