,nx,ny,J,h,energy,mx,mx_s,mz,max_chi,rel_energy_delta,rel_entropy_delta,mixer,energy_per_site,type
0,4,4,1.0,0.0,-23.99999999999998,-2.0816681711721685e-17,-0.9999999999999984,2.8486131116809535e-16,500,1e-08,1e-05,True,-1.4999999999999987,mps
1,4,4,1.0,0.1,-24.028336173194564,8.326672684688674e-17,-0.9993309677389912,-0.03542376435691638,500,1e-08,1e-05,True,-1.5017710108246602,mps
2,4,4,1.0,0.2,-24.11337869627555,4.163336342344337e-17,0.9973163096975267,-0.07088997508795854,500,1e-08,1e-05,True,-1.5070861685172219,mps
3,4,4,1.0,0.30000000000000004,-24.25522903020983,1.0408340855860843e-16,0.9939332810309678,-0.10644039913678738,500,1e-08,1e-05,True,-1.5159518143881143,mps
4,4,4,1.0,0.4,-24.454054514928846,1.249000902703301e-16,-0.989143739119553,-0.1421155304251806,500,1e-08,1e-05,True,-1.5283784071830528,mps
5,4,4,1.0,0.5,-24.710085956696375,3.448586902154993e-14,-0.020912972518306622,-0.1779541499233876,500,1e-08,1e-05,True,-1.5443803722935234,mps
6,4,4,1.0,0.6000000000000001,-25.02361466480726,2.002768746201325e-14,-0.0003117346294173941,-0.21399308525909583,500,1e-08,1e-05,True,-1.5639759165504536,mps
7,4,4,1.0,0.7000000000000001,-25.394989317579498,-9.20621159358463e-12,-2.7681067203595185e-06,-0.2502672653138206,500,1e-08,1e-05,True,-1.5871868323487186,mps
8,4,4,1.0,0.8,-25.82461336997059,-2.0349457371869258e-14,-1.7094954975796217e-06,-0.2868104589537084,500,1e-08,1e-05,True,-1.6140383356231618,mps
9,4,4,1.0,0.9,-26.3129449552406,1.838475617311652e-15,3.493484803789994e-08,-0.3236579907780401,500,1e-08,1e-05,True,-1.6445590597025375,mps
10,4,4,1.0,1.0,-26.860504639528,-5.061707223959891e-16,9.440287848677822e-10,-0.3608545689644144,500,1e-08,1e-05,True,-1.6787815399705,mps
11,4,4,1.0,1.1,-27.467903410996207,-8.059325819010873e-18,-1.2219340235927794e-10,-0.3984728934692269,500,1e-08,1e-05,True,-1.716743963187263,mps
12,4,4,1.0,1.2000000000000002,-28.13591380803157,-1.1547467469013724e-16,1.4468713438425869e-11,-0.43665003837069133,500,1e-08,1e-05,True,-1.7584946130019732,mps
13,4,4,1.0,1.3,-28.865615847206765,1.4459512386618138e-17,-6.571166134480778e-13,-0.47564398211061026,500,1e-08,1e-05,True,-1.8041009904504228,mps
14,4,4,1.0,1.4000000000000001,-29.658640564115625,-3.8482880182128005e-16,-1.5995280400321481e-12,-0.5158934827348544,500,1e-08,1e-05,True,-1.8536650352572266,mps
15,4,4,1.0,1.5,-30.517474873065844,-3.3817093333994355e-17,-4.016792792755301e-13,-0.5580188938871585,500,1e-08,1e-05,True,-1.9073421795666152,mps
16,4,4,1.0,1.6,-31.445635268031978,5.3214501826297314e-17,2.0793436141869106e-13,-0.6026289155757314,500,1e-08,1e-05,True,-1.9653522042519986,mps
17,4,4,1.0,1.7000000000000002,-32.44726559375698,2.2127355779880187e-16,-2.2689832098277978e-14,-0.649776860881726,500,1e-08,1e-05,True,-2.0279540996098113,mps
18,4,4,1.0,1.8,-33.525626969181,4.410142741961354e-16,-1.0560022529173755e-13,-0.6981902392528416,500,1e-08,1e-05,True,-2.0953516855738124,mps
19,4,4,1.0,1.9000000000000001,-34.680660331809435,6.629589939586746e-16,1.3675247015570927e-14,-0.7450608090690167,500,1e-08,1e-05,True,-2.1675412707380897,mps
20,4,4,1.0,2.0,-35.90725762040891,8.993146288659602e-16,1.1734452461428667e-14,-0.7871709308000456,500,1e-08,1e-05,True,-2.244203601275557,mps
21,4,4,1.0,2.1,-37.195974808920276,-3.2542070329442715e-16,1.5899413784909165e-14,-0.8225345452493091,500,1e-08,1e-05,True,-2.3247484255575173,mps
22,4,4,1.0,2.2,-38.53563525493299,-2.530447213951462e-16,9.201053823211655e-17,-0.8509370184134059,500,1e-08,1e-05,True,-2.408477203433312,mps
23,4,4,1.0,2.3000000000000003,-39.91574820555946,1.806434254541697e-16,-7.062364719520761e-15,-0.8733018533902864,500,1e-08,1e-05,True,-2.4947342628474662,mps
